Date,Name,Average_Price_SA
1995-01-01,Barking And Dagenham,74473.543806761299
1995-01-01,Barnet,97306.618408693656
1995-01-01,Barnsley,50360.627025665934
1995-01-01,Bath And North East Somerset,68170.330159905978
1995-01-01,Bedford,59010.810096995308
1995-01-01,Bexley,79914.045760735986
1995-01-01,Birmingham,50616.971464226022
1995-01-01,Blackburn With Darwen,48280.894950073336
1995-01-01,Blackpool,46773.15849772525
1995-01-01,Blaenau Gwent,38773.995160836996
1995-01-01,Bolton,50903.512945155249
1995-01-01,Bournemouth,59600.670374166177
1995-01-01,Bracknell Forest,79711.006431289934
1995-01-01,Bradford,55958.224231288012
1995-01-01,Brent,70839.359442704183
1995-01-01,Bridgend,56908.402527158767
1995-01-01,Brighton And Hove,52988.075299771088
1995-01-01,Bromley,91169.877825694159
1995-01-01,Buckinghamshire,87935.915647417176
1995-01-01,Bury,52949.295678363895
1995-01-01,Caerphilly,47288.931109873542
1995-01-01,Calderdale,51934.732452132434
1995-01-01,Cambridgeshire,64518.636215533246
1995-01-01,Camden,116703.05204744934
1995-01-01,Cardiff,58650.706556800847
1995-01-01,Carmarthenshire,45704.406247637009
1995-01-01,Central Bedfordshire,63657.050536872179
1995-01-01,Ceredigion,52642.996437637994
1995-01-01,Cheshire East,64745.785723981724
1995-01-01,Cheshire West And Chester,59979.350878876532
1995-01-01,City Of Bristol,50897.320884787201
1995-01-01,City Of Derby,45566.894851192847
1995-01-01,City Of Kingston Upon Hull,49498.528289856433
1995-01-01,City Of Nottingham,48189.076568552715
1995-01-01,City Of Peterborough,49140.910477200996
1995-01-01,City Of Plymouth,50834.054646836048
1995-01-01,City Of Westminster,143551.47989500337
1995-01-01,Conwy,55482.614978176804
1995-01-01,Cornwall,54862.951822685893
1995-01-01,Coventry,47708.841755682595
1995-01-01,Croydon,80298.131828689104
1995-01-01,Cumbria,52182.109580185512
1995-01-01,Darlington,51094.469882626079
1995-01-01,Denbighshire,55182.577161313995
1995-01-01,Derbyshire,55578.987544592572
1995-01-01,Detached-All,91214.164258458957
1995-01-01,Devon,64718.121247307587
1995-01-01,Doncaster,49437.466176473194
1995-01-01,Dorset,71993.400610379933
1995-01-01,Dudley,61386.229398413569
1995-01-01,Durham,50006.120520784563
1995-01-01,E&W-All,61476.73926607256
1995-01-01,Ealing,88028.426791976934
1995-01-01,East,61827.421812063956
1995-01-01,East Midlands,55414.557536320513
1995-01-01,East Riding Of Yorkshire,60488.739472580783
1995-01-01,East Sussex,61585.310439095432
1995-01-01,Enfield,82416.936933913123
1995-01-01,Essex,65733.041086534955
1995-01-01,Flat-All,57091.112758452931
1995-01-01,Flintshire,54422.992028474335
1995-01-01,Gateshead,46726.857785009379
1995-01-01,Gloucestershire,62394.941118856419
1995-01-01,Greater London,92110.019395406576
1995-01-01,Greater Manchester,51759.271052412587
1995-01-01,Greenwich,74197.99976689156
1995-01-01,Gwynedd,51305.934187902756
1995-01-01,Hackney,74612.828552852006
1995-01-01,Halton,50954.913942751933
1995-01-01,Hammersmith And Fulham,113953.6452984135
1995-01-01,Hampshire,75502.564398084141
1995-01-01,Haringey,82140.660600065952
1995-01-01,Harrow,89561.032630285597
1995-01-01,Hartlepool,64099.95232553532
1995-01-01,Havering,87007.665159944983
1995-01-01,Herefordshire,70883.734254930445
1995-01-01,Hertfordshire,78637.475369290609
1995-01-01,Hillingdon,86547.046472044065
1995-01-01,Hounslow,81716.938434823329
1995-01-01,Isle Of Anglesey,51207.373955200608
1995-01-01,Isle Of Wight,49453.1724901977
1995-01-01,Islington,99868.975077239185
1995-01-01,Kensington And Chelsea,184911.83614420905
1995-01-01,Kent,65652.870116171602
1995-01-01,Kingston Upon Thames,88113.799717150672
1995-01-01,Kirklees,55887.372261593198
1995-01-01,Knowsley,55475.961377916246
1995-01-01,Lambeth,75490.786246916439
1995-01-01,Lancashire,57892.866806121106
1995-01-01,Leeds,56721.378649158913
1995-01-01,Leicester,47058.837593194592
1995-01-01,Leicestershire,61876.249685790121
1995-01-01,Lewisham,74665.030390195141
1995-01-01,Lincolnshire,55978.175869766725
1995-01-01,Liverpool,46411.550322194125
1995-01-01,London,92110.019395406576
1995-01-01,Luton,51332.958233964047
1995-01-01,Manchester,43151.40957164931
1995-01-01,Medway,55663.257106815261
1995-01-01,Merseyside,53268.648937342346
1995-01-01,Merthyr Tydfil,36480.857001917451
1995-01-01,Merton,91493.198288456944
1995-01-01,Middlesbrough,61743.700606059239
1995-01-01,Milton Keynes,57481.685013411465
1995-01-01,Monmouthshire,67846.7558354496
1995-01-01,Neath Port Talbot,43177.986707232827
1995-01-01,Newcastle Upon Tyne,53160.924623775827
1995-01-01,Newham,65270.18150075934
1995-01-01,Newport,48789.788234049738
1995-01-01,Norfolk,53171.936267914964
1995-01-01,North East,54909.985199797811
1995-01-01,North East Lincolnshire,52340.561543037176
1995-01-01,North Lincolnshire,53536.295939701486
1995-01-01,North Somerset,62688.621141222357
1995-01-01,North Tyneside,54958.98995565853
1995-01-01,North West,54933.320987356448
1995-01-01,North Yorkshire,67529.811028239608
1995-01-01,Northamptonshire,55620.023265478885
1995-01-01,Northumberland,56041.192584988006
1995-01-01,Nottinghamshire,57637.207533605608
1995-01-01,Oldham,48573.952198989478
1995-01-01,Oxfordshire,77709.132640697149
1995-01-01,Pembrokeshire,52418.957093171761
1995-01-01,Poole,69553.471817905112
1995-01-01,Portsmouth,56106.264862535754
1995-01-01,Powys,54678.80597815747
1995-01-01,Reading,68137.363603949852
1995-01-01,Redbridge,87591.517457134076
1995-01-01,Redcar And Cleveland,56810.930714073555
1995-01-01,Rhondda Cynon Taff,39884.936312638332
1995-01-01,Richmond Upon Thames,115789.64243565639
1995-01-01,Rochdale,54931.963796249845
1995-01-01,Rotherham,55357.168047075436
1995-01-01,Rutland,70279.666416180829
1995-01-01,Salford,52307.534093514842
1995-01-01,Sandwell,48465.930141896824
1995-01-01,Sefton,60295.457396124897
1995-01-01,Semi-All,57462.885948304691
1995-01-01,Sheffield,51650.704317756259
1995-01-01,Shropshire,62715.753060484094
1995-01-01,Slough,64636.66247146063
1995-01-01,Solihull,84037.481589892559
1995-01-01,Somerset,60935.503884815284
1995-01-01,South East,71678.58137639139
1995-01-01,South Gloucestershire,65107.464620256455
1995-01-01,South Tyneside,55321.21409257847
1995-01-01,South West,60604.307780479699
1995-01-01,South Yorkshire,51816.491835744833
1995-01-01,Southampton,55982.063271984451
1995-01-01,Southend-On-Sea,51432.11813754437
1995-01-01,Southwark,87756.271074707038
1995-01-01,St Helens,54374.927554929651
1995-01-01,Staffordshire,58568.825490234667
1995-01-01,Stockport,59135.305097174321
1995-01-01,Stockton-On-Tees,66373.48723124573
1995-01-01,Stoke-On-Trent,44598.733370850758
1995-01-01,Suffolk,55805.57775124687
1995-01-01,Sunderland,52896.847479157688
1995-01-01,Surrey,96457.940448892041
1995-01-01,Sutton,79477.5344403864
1995-01-01,Swansea,52645.910294155838
1995-01-01,Swindon,57238.232135318154
1995-01-01,Tameside,48051.446327171812
1995-01-01,Terrace-All,49364.453327192736
1995-01-01,The Vale Of Glamorgan,70625.221740797657
1995-01-01,Thurrock,56851.803195184701
1995-01-01,Torbay,60020.389681580527
1995-01-01,Torfaen,46435.47032335533
1995-01-01,Tower Hamlets,91828.052625733122
1995-01-01,Trafford,63915.936332863843
1995-01-01,Tyne And Wear,52618.62874688016
1995-01-01,Wakefield,53913.247363569892
1995-01-01,Wales,51800.535336097812
1995-01-01,Walsall,59293.77613352867
1995-01-01,Waltham Forest,67143.616227820938
1995-01-01,Wandsworth,85832.403761829904
1995-01-01,Warrington,62018.372670339151
1995-01-01,Warwickshire,64653.086595015709
1995-01-01,West Berkshire,80781.698129460929
1995-01-01,West Midlands,54578.057095841395
1995-01-01,West Midlands (region),58604.951390006354
1995-01-01,West Sussex,70235.965694435756
1995-01-01,West Yorkshire,55593.260547305268
1995-01-01,Wigan,49678.437502321678
1995-01-01,Wiltshire,68067.766521403813
1995-01-01,Windsor And Maidenhead,102412.81456521299
1995-01-01,Wirral,54243.484323853445
1995-01-01,Wokingham,100746.1377724202
1995-01-01,Wolverhampton,52316.700075354507
1995-01-01,Worcestershire,66987.730137701787
1995-01-01,Wrekin,62570.232484703156
1995-01-01,Wrexham,49077.576813047941
1995-01-01,York,64442.942104119335
1995-01-01,Yorks & Humber,57978.439403950222
1995-02-01,Barking And Dagenham,75618.405018783553
1995-02-01,Barnet,100218.00614860526
1995-02-01,Barnsley,50203.033904827178
1995-02-01,Bath And North East Somerset,68736.739569061494
1995-02-01,Bedford,61706.145015446513
1995-02-01,Bexley,81383.871369202694
1995-02-01,Birmingham,52831.300678331972
1995-02-01,Blackburn With Darwen,48035.667108828296
1995-02-01,Blackpool,52806.890162459451
1995-02-01,Blaenau Gwent,32584.241097607097
1995-02-01,Bolton,51566.686962849555
1995-02-01,Bournemouth,61192.846755349572
1995-02-01,Bracknell Forest,79499.222761860045
1995-02-01,Bradford,56694.667502606491
1995-02-01,Brent,71692.484477665887
1995-02-01,Bridgend,63370.054273561698
1995-02-01,Brighton And Hove,53562.681541059974
1995-02-01,Bromley,92162.120521954144
1995-02-01,Buckinghamshire,88006.148647507027
1995-02-01,Bury,54178.940051148333
1995-02-01,Caerphilly,44565.038299935281
1995-02-01,Calderdale,51187.870039073809
1995-02-01,Cambridgeshire,65044.143714247497
1995-02-01,Camden,126225.71976238006
1995-02-01,Cardiff,56194.706559123224
1995-02-01,Carmarthenshire,37990.705133886746
1995-02-01,Central Bedfordshire,63902.239309357086
1995-02-01,Ceredigion,51938.033889277278
1995-02-01,Cheshire East,64647.217095480191
1995-02-01,Cheshire West And Chester,68228.306714465798
1995-02-01,City Of Bristol,48757.8588577298
1995-02-01,City Of Derby,45463.647869880537
1995-02-01,City Of Kingston Upon Hull,48766.622590581494
1995-02-01,City Of Nottingham,45519.470369371425
1995-02-01,City Of Peterborough,49487.975335537332
1995-02-01,City Of Plymouth,49349.841942472231
1995-02-01,City Of Westminster,149611.39514021549
1995-02-01,Conwy,57689.260169364054
1995-02-01,Cornwall,57910.966914912635
1995-02-01,Coventry,49744.095963745865
1995-02-01,Croydon,83687.537526605433
1995-02-01,Cumbria,55094.474843889227
1995-02-01,Darlington,53879.560125647084
1995-02-01,Denbighshire,53394.861289723151
1995-02-01,Derbyshire,53988.795315166601
1995-02-01,Detached-All,92243.032501964961
1995-02-01,Devon,64137.714177555412
1995-02-01,Doncaster,51691.330454182011
1995-02-01,Dorset,70156.105307262798
1995-02-01,Dudley,58692.296926908333
1995-02-01,Durham,48885.394381273254
1995-02-01,E&W-All,62437.807059347979
1995-02-01,Ealing,89089.191972544839
1995-02-01,East,63003.334208721673
1995-02-01,East Midlands,54750.700756403166
1995-02-01,East Riding Of Yorkshire,65683.915432900278
1995-02-01,East Sussex,62383.785699519314
1995-02-01,Enfield,86565.999049239006
1995-02-01,Essex,66413.333157076617
1995-02-01,Flat-All,58827.8272859262
1995-02-01,Flintshire,54663.949725875827
1995-02-01,Gateshead,47395.213031992818
1995-02-01,Gloucestershire,64630.817343684874
1995-02-01,Greater London,93470.916417331144
1995-02-01,Greater Manchester,52568.934774013265
1995-02-01,Greenwich,74232.871518868968
1995-02-01,Gwynedd,48245.258394131008
1995-02-01,Hackney,78613.157036033954
1995-02-01,Halton,51358.108378223129
1995-02-01,Hammersmith And Fulham,110299.00074739849
1995-02-01,Hampshire,75026.449732666762
1995-02-01,Haringey,83495.622261511962
1995-02-01,Harrow,89050.641144455105
1995-02-01,Hartlepool,54411.434502814125
1995-02-01,Havering,86263.634695218687
1995-02-01,Herefordshire,68112.468561652058
1995-02-01,Hertfordshire,80473.572359438927
1995-02-01,Hillingdon,81342.28784370108
1995-02-01,Hounslow,87325.50651334069
1995-02-01,Isle Of Anglesey,55015.953986542241
1995-02-01,Isle Of Wight,49874.694077660111
1995-02-01,Islington,101465.78967100466
1995-02-01,Kensington And Chelsea,182528.58204080639
1995-02-01,Kent,65222.886328670138
1995-02-01,Kingston Upon Thames,94358.363674458524
1995-02-01,Kirklees,57819.721591712172
1995-02-01,Knowsley,64339.062460199151
1995-02-01,Lambeth,77883.425572073495
1995-02-01,Lancashire,57624.385541599528
1995-02-01,Leeds,60094.717508215304
1995-02-01,Leicester,46778.950371636245
1995-02-01,Leicestershire,63545.046131728865
1995-02-01,Lewisham,70905.82532350067
1995-02-01,Lincolnshire,53941.43753084819
1995-02-01,Liverpool,58792.87924150905
1995-02-01,London,93470.916417331144
1995-02-01,Luton,49480.425779137258
1995-02-01,Manchester,46675.93469204865
1995-02-01,Medway,55547.084690914809
1995-02-01,Merseyside,59316.623330675066
1995-02-01,Merthyr Tydfil,30712.622264416361
1995-02-01,Merton,89694.019959640224
1995-02-01,Middlesbrough,60694.425143211694
1995-02-01,Milton Keynes,58500.087038774305
1995-02-01,Monmouthshire,70363.813545724362
1995-02-01,Neath Port Talbot,42787.78909776987
1995-02-01,Newcastle Upon Tyne,53492.334318042587
1995-02-01,Newham,64953.565231115906
1995-02-01,Newport,55837.928797919609
1995-02-01,Norfolk,54700.801827704963
1995-02-01,North East,53345.787784445398
1995-02-01,North East Lincolnshire,52791.246079229677
1995-02-01,North Lincolnshire,51179.033278027273
1995-02-01,North Somerset,63448.826863363211
1995-02-01,North Tyneside,54180.822020960462
1995-02-01,North West,56783.0029056657
1995-02-01,North Yorkshire,65736.575118902707
1995-02-01,Northamptonshire,56323.42096704564
1995-02-01,Northumberland,57781.395377804794
1995-02-01,Nottinghamshire,56699.021947694862
1995-02-01,Oldham,50038.767577702361
1995-02-01,Oxfordshire,81154.876480856881
1995-02-01,Pembrokeshire,52506.542782382232
1995-02-01,Poole,67034.428213947816
1995-02-01,Portsmouth,57357.663613888268
1995-02-01,Powys,60112.876796525088
1995-02-01,Reading,68953.237929477182
1995-02-01,Redbridge,90378.023276953478
1995-02-01,Redcar And Cleveland,55914.359505361157
1995-02-01,Rhondda Cynon Taff,43640.567533186404
1995-02-01,Richmond Upon Thames,115895.12258493877
1995-02-01,Rochdale,48602.834012824285
1995-02-01,Rotherham,51091.146959962556
1995-02-01,Rutland,83354.094844912906
1995-02-01,Salford,50534.46800469856
1995-02-01,Sandwell,47060.59605184487
1995-02-01,Sefton,64230.387596056462
1995-02-01,Semi-All,58014.021666299057
1995-02-01,Sheffield,52276.591227111545
1995-02-01,Shropshire,64075.872480161619
1995-02-01,Slough,65311.185966683377
1995-02-01,Solihull,79080.133081829481
1995-02-01,Somerset,65052.037102965827
1995-02-01,South East,72143.421322608105
1995-02-01,South Gloucestershire,64135.575214729863
1995-02-01,South Tyneside,54001.40783529351
1995-02-01,South West,61354.803686849256
1995-02-01,South Yorkshire,51697.677046576377
1995-02-01,Southampton,54458.042602183996
1995-02-01,Southend-On-Sea,54904.910763356675
1995-02-01,Southwark,85120.125844040042
1995-02-01,St Helens,47341.804818401601
1995-02-01,Staffordshire,58346.304343096206
1995-02-01,Stockport,58775.030672595691
1995-02-01,Stockton-On-Tees,60137.44551084836
1995-02-01,Stoke-On-Trent,45574.195145920734
1995-02-01,Suffolk,57597.251887056744
1995-02-01,Sunderland,48631.715437810533
1995-02-01,Surrey,98280.642936254953
1995-02-01,Sutton,82990.673628126227
1995-02-01,Swansea,52923.209239581083
1995-02-01,Swindon,58535.046116128135
1995-02-01,Tameside,51794.524507460825
1995-02-01,Terrace-All,50175.348757477943
1995-02-01,The Vale Of Glamorgan,68340.455048501201
1995-02-01,Thurrock,57233.75452304248
1995-02-01,Torbay,57401.789709246012
1995-02-01,Torfaen,45170.016139115542
1995-02-01,Tower Hamlets,89663.20260778247
1995-02-01,Trafford,62845.383959521103
1995-02-01,Tyne And Wear,51750.357076256434
1995-02-01,Wakefield,56964.008092366552
1995-02-01,Wales,51807.976929868157
1995-02-01,Walsall,57232.775562087154
1995-02-01,Waltham Forest,67505.035889387902
1995-02-01,Wandsworth,86443.282155764144
1995-02-01,Warrington,66907.568687630497
1995-02-01,Warwickshire,66116.607172420408
1995-02-01,West Berkshire,80311.596547278954
1995-02-01,West Midlands,54459.270719571759
1995-02-01,West Midlands (region),58849.62571609881
1995-02-01,West Sussex,71006.320907986199
1995-02-01,West Yorkshire,57891.415736894793
1995-02-01,Wigan,50375.441337366334
1995-02-01,Wiltshire,70531.03802962412
1995-02-01,Windsor And Maidenhead,102377.23044963626
1995-02-01,Wirral,55312.839001423905
1995-02-01,Wokingham,95391.858719671145
1995-02-01,Wolverhampton,48872.354525831666
